,UBIGEO,P1$01,P1$02,P1$03,P1$04,P1$05,P1$06,P1$07,P1$08,P1$09,P1$10,P1$11,P1$12,P1$13,P1$14,P1$15,P1$16,P1$17,P1$18,P1$19,P1$20,P1$21,P2A1$1,P2A1$2,P2A1$3,P2A1$4,P507,P207,P208A,P301A,Region,REGION
21665,100317,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3,3,3,3,3,2,45,8,10,HUANUCO
21666,100317,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,2.0,4.0,2.5,1.0,2.0,2.0,2.0,4,3,2,2,8,1,18,6,10,HUANUCO
21667,100317,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,4,2,2,2,2,26,5,10,HUANUCO
21668,100317,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3,3,2,2,2,1,19,7,10,HUANUCO
21669,100605,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,4,3,3,3,2,1,60,3,10,HUANUCO
21670,100605,2.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3,2,2,2,5,1,20,9,10,HUANUCO
21671,100605,2.5,2.5,2.5,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,2.5,2.5,2.5,2.5,2.5,5,5,5,5,2,1,86,3,10,HUANUCO
21672,100605,2.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,4.0,2.0,1.0,1.0,4.0,5,2,3,2,3,1,36,5,10,HUANUCO
21673,100605,2.5,2.5,2.5,1.0,2.5,2.5,2.5,1.0,1.0,2.5,2.5,1.0,1.0,1.0,1.0,2.0,2.5,2.5,2.5,4.0,2.5,5,5,5,5,2,2,54,6,10,HUANUCO
21674,100605,2.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.5,2.0,2.0,2.0,2.0,4,5,5,5,2,1,60,5,10,HUANUCO
21675,100207,2.0,2.5,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,5,5,5,2,1,1,47,3,10,HUANUCO
21676,100207,2.0,1.0,3.0,2.0,2.0,3.0,4.0,3.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4,3,3,3,1,1,23,6,10,HUANUCO
21677,100207,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,2,2,2,5,2,47,3,10,HUANUCO
21678,100207,2.0,2.0,3.0,2.0,2.0,4.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,4.0,2.0,2.0,2.0,1.0,2.0,4,3,3,2,8,1,57,6,10,HUANUCO
21679,100207,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,5,5,5,5,2,1,52,3,10,HUANUCO
21680,100207,2.0,4.0,4.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,2.5,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.5,2.5,2.5,4,5,2,3,5,2,52,3,10,HUANUCO
21681,100207,3.0,3.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3,5,5,5,2,1,77,3,10,HUANUCO
21682,100207,2.5,2.5,4.0,4.0,4.0,1.0,1.0,2.5,2.5,4.0,2.5,1.0,1.0,1.0,1.0,1.0,2.5,2.5,2.5,2.5,2.5,5,5,5,5,2,1,44,3,10,HUANUCO
21683,100404,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,2.5,2.5,2.5,5,5,5,5,2,1,70,1,10,HUANUCO
21684,100404,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,2.5,2.5,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5,5,5,5,2,1,77,3,10,HUANUCO
21685,100404,2.5,2.5,2.0,2.5,2.5,2.5,2.5,2.5,2.5,2.0,2.5,2.5,2.5,2.5,2.5,4.0,2.5,2.5,2.5,2.5,2.5,3,5,2,2,5,2,27,3,10,HUANUCO
21686,100404,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,4,5,5,5,3,1,36,10,10,HUANUCO
21687,100404,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2,2,2,2,6,2,26,4,10,HUANUCO
21688,100404,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.5,2.5,2.5,2.5,2.5,3,3,3,2,5,2,25,6,10,HUANUCO
21689,100404,2.5,2.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,2.5,2.5,1.0,2.5,5,5,5,5,2,1,77,4,10,HUANUCO
21690,100404,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.5,2.0,2.0,2.0,2.0,2.5,4.0,2.5,3,5,5,2,2,1,41,7,10,HUANUCO
21691,100103,2.0,2.0,4.0,3.0,2.0,2.0,2.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,2,2,5,3,2,2,32,3,10,HUANUCO
21692,100103,2.5,2.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,2.5,2.5,2.5,2.5,2,5,2,2,4,1,29,4,10,HUANUCO
21693,100103,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,3,2,2,2,2,1,30,4,10,HUANUCO
21694,100103,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,5,5,5,2,1,50,1,10,HUANUCO
21695,100103,2.0,2.0,3.0,2.5,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,5,5,5,3,8,2,30,6,10,HUANUCO
21696,100103,1.0,1.0,2.0,2.5,2.5,1.0,1.0,2.5,1.0,2.0,2.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,2.5,2.5,3,5,5,5,4,1,29,6,10,HUANUCO
21697,100103,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,2.5,2.5,2.5,2.5,5,5,5,5,2,1,59,1,10,HUANUCO
21698,100103,1.0,1.0,2.0,1.0,2.0,2.0,2.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,4,3,3,2,1,1,41,3,10,HUANUCO
21699,100208,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2,5,2,2,2,1,65,4,10,HUANUCO
21700,100208,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3.0,2.5,2.5,2.5,2.5,2.5,3,5,5,5,8,2,90,3,10,HUANUCO
21701,100208,2.5,2.5,3.0,2.5,2.0,3.0,3.0,1.0,2.5,2.5,2.5,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,5,5,5,5,2,2,63,4,10,HUANUCO
21702,100208,2.0,2.0,2.0,2.5,2.0,1.0,1.0,1.0,1.0,1.0,2.5,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3,3,5,3,8,2,52,1,10,HUANUCO
21703,100208,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3,3,3,5,1,2,64,6,10,HUANUCO
21704,100208,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,2.5,2.0,2.0,5,5,5,5,2,1,83,8,10,HUANUCO
21705,100208,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3.0,2.5,2.5,2.5,2.5,2.5,5,5,5,3,8,2,81,3,10,HUANUCO
21706,100208,1.0,2.0,3.0,1.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3,3,2,2,4,1,39,5,10,HUANUCO
21707,101107,2.5,2.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,2.5,2.5,2.5,3,5,4,3,5,2,46,3,10,HUANUCO
21708,101107,2.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.5,4,5,5,2,5,2,56,3,10,HUANUCO
21709,101107,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,3,3,5,5,5,2,38,5,10,HUANUCO
21710,101107,2.5,2.5,1.0,1.0,2.0,1.0,1.0,1.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3.0,2.5,2.5,2.5,2.5,2.5,5,5,5,5,8,2,65,3,10,HUANUCO
21711,101107,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.5,2.5,2.5,2.5,2.5,3,3,3,3,5,2,62,3,10,HUANUCO
21712,101107,2.0,2.0,3.0,1.0,1.0,3.0,2.0,2.5,2.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.5,2.5,2.5,3,3,2,3,2,2,35,4,10,HUANUCO
21713,101107,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,1.0,2.5,1.0,1.0,2.5,2.5,2.5,2.5,2.5,5,5,5,5,2,1,69,4,10,HUANUCO
21714,101107,2.5,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,2.5,2.5,3,5,5,3,1,2,53,3,10,HUANUCO
